,url_categorie,cat1,cat2,cat3,cat4,cat5,cat6,titre,rang,lien
0,https://www.amazon.com/s?bbn=157630011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157631011&dc&qid=1689403029&rnid=157630011&ref=lp_157630011_nr_n_0,Arts & Photography,Architecture,"Architects, A-Z",,,,A Place of My Own: The Architecture of Daydreams,20544,https://www.amazon.com/Place-My-Own-Architecture-Daydreams-ebook/dp/B00BE2568E/ref=sr_1_1?qid=1699131427&s=digital-text&sr=1-1
1,https://www.amazon.com/s?bbn=157630011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157631011&dc&qid=1689403029&rnid=157630011&ref=lp_157630011_nr_n_0,Arts & Photography,Architecture,"Architects, A-Z",,,,"The Stoic way of Life: The Ultimate Guide of Stoicism to make your Everyday Modern Life Calm, Confident - Master the Art of Living, Emotional Resilience & Perseverance (Mastering Stoicism)",34524,https://www.amazon.com/Stoic-way-Life-Confident-Perseverance-ebook/dp/B08N5LC4TD/ref=sr_1_2?qid=1699131427&s=digital-text&sr=1-2
2,https://www.amazon.com/s?bbn=157630011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157631011&dc&qid=1689403029&rnid=157630011&ref=lp_157630011_nr_n_0,Arts & Photography,Architecture,"Architects, A-Z",,,,Architectural Digest at 100: A Century of Style,19037,https://www.amazon.com/Architectural-Digest-100-Century-Style-ebook/dp/B07NZ16LZK/ref=sr_1_3?qid=1699131427&s=digital-text&sr=1-3
3,https://www.amazon.com/s?bbn=157630011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157631011&dc&qid=1689403029&rnid=157630011&ref=lp_157630011_nr_n_0,Arts & Photography,Architecture,"Architects, A-Z",,,,The Gardner Heist: The True Story of the World's Largest Unsolved Art Theft,298908,https://www.amazon.com/Gardner-Heist-Worlds-Largest-Unsolved-ebook/dp/B001TJ2YF0/ref=sr_1_4?qid=1699131427&s=digital-text&sr=1-4
4,https://www.amazon.com/s?bbn=157630011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157631011&dc&qid=1689403029&rnid=157630011&ref=lp_157630011_nr_n_0,Arts & Photography,Architecture,"Architects, A-Z",,,,The $12 Million Stuffed Shark: The Curious Economics of Contemporary Art,612739,https://www.amazon.com/Million-Stuffed-Shark-Economics-Contemporary-ebook/dp/B0077QZ208/ref=sr_1_5?qid=1699131427&s=digital-text&sr=1-5
5,https://www.amazon.com/s?bbn=157630011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157631011&dc&qid=1689403029&rnid=157630011&ref=lp_157630011_nr_n_0,Arts & Photography,Architecture,"Architects, A-Z",,,,Death in a Prairie House: Frank Lloyd Wright and the Taliesin Murders,519220,https://www.amazon.com/Death-Prairie-House-Taliesin-Murders-ebook/dp/B002AP9GLW/ref=sr_1_6?qid=1699131427&s=digital-text&sr=1-6
6,https://www.amazon.com/s?bbn=157630011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157631011&dc&qid=1689403029&rnid=157630011&ref=lp_157630011_nr_n_0,Arts & Photography,Architecture,"Architects, A-Z",,,,The Fellowship: The Untold Story of Frank Lloyd Wright and the Taliesin Fellowship,653860,https://www.amazon.com/Fellowship-Untold-Story-Wright-Taliesin-ebook/dp/B001UQO446/ref=sr_1_7?qid=1699131427&s=digital-text&sr=1-7
7,https://www.amazon.com/s?bbn=157630011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157631011&dc&qid=1689403029&rnid=157630011&ref=lp_157630011_nr_n_0,Arts & Photography,Architecture,"Architects, A-Z",,,,Wright Sites: A Guide to Frank Lloyd Wright Public Places,451691,https://www.amazon.com/Wright-Sites-Guide-Public-Places-ebook/dp/B06VX7WRPV/ref=sr_1_8?qid=1699131427&s=digital-text&sr=1-8
8,https://www.amazon.com/s?bbn=157630011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157631011&dc&qid=1689403029&rnid=157630011&ref=lp_157630011_nr_n_0,Arts & Photography,Architecture,"Architects, A-Z",,,,Confessions Of an Art Addict,452086,https://www.amazon.com/Confessions-Art-Addict-Peggy-Guggenheim-ebook/dp/B00BKZGPL2/ref=sr_1_9?qid=1699131427&s=digital-text&sr=1-9
9,https://www.amazon.com/s?bbn=157630011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157631011&dc&qid=1689403029&rnid=157630011&ref=lp_157630011_nr_n_0,Arts & Photography,Architecture,"Architects, A-Z",,,,Goya: A Portrait of the Artist,568385,https://www.amazon.com/Goya-Portrait-Artist-Janis-Tomlinson-ebook/dp/B08652LH8P/ref=sr_1_10?qid=1699131427&s=digital-text&sr=1-10
10,https://www.amazon.com/s?bbn=157630011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157631011&dc&qid=1689403029&rnid=157630011&ref=lp_157630011_nr_n_0,Arts & Photography,Architecture,"Architects, A-Z",,,,Frank Lloyd Wright,822727,https://www.amazon.com/Frank-Lloyd-Wright-Meryle-Secrest-ebook/dp/B00KEPLBYK/ref=sr_1_11?qid=1699131427&s=digital-text&sr=1-11
11,https://www.amazon.com/s?bbn=157630011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157631011&dc&qid=1689403029&rnid=157630011&ref=lp_157630011_nr_n_0,Arts & Photography,Architecture,"Architects, A-Z",,,,Exhibiting Cultures: The Poetics and Politics of Museum Display,774357,https://www.amazon.com/Exhibiting-Cultures-Poetics-Politics-Display-ebook/dp/B006Q2GJLU/ref=sr_1_12?qid=1699131427&s=digital-text&sr=1-12
12,https://www.amazon.com/s?bbn=157630011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157631011&dc&qid=1689403029&rnid=157630011&ref=lp_157630011_nr_n_0,Arts & Photography,Architecture,"Architects, A-Z",,,,"The Man in the Glass House: Philip Johnson, Architect of the Modern Century",625551,https://www.amazon.com/Man-Glass-House-Johnson-Architect-ebook/dp/B07DTC5N92/ref=sr_1_13?qid=1699131427&s=digital-text&sr=1-13
13,https://www.amazon.com/s?bbn=157630011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157631011&dc&qid=1689403029&rnid=157630011&ref=lp_157630011_nr_n_0,Arts & Photography,Architecture,"Architects, A-Z",,,,"Grand Avenues: The Story of Pierre Charles L'Enfant, the French Visionary Who Designed Washington, D.C.",821582,https://www.amazon.com/Grand-Avenues-Visionary-Designed-Washington-ebook/dp/B001YWN9S8/ref=sr_1_14?qid=1699131427&s=digital-text&sr=1-14
14,https://www.amazon.com/s?bbn=157630011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157631011&dc&qid=1689403029&rnid=157630011&ref=lp_157630011_nr_n_0,Arts & Photography,Architecture,"Architects, A-Z",,,,Charles Correa: A Place in the ShadeThe New Landscape & Other Essays (Architektur),586899,https://www.amazon.com/Charles-Correa-Landscape-Essays-Books-ebook/dp/B00DQQZ82U/ref=sr_1_15?qid=1699131427&s=digital-text&sr=1-15
15,https://www.amazon.com/s?bbn=157630011&rh=n%3A133140011%2Cn%3A154606011%2Cn%3A154607011%2Cn%3A157630011%2Cn%3A157631011&dc&qid=1689403029&rnid=157630011&ref=lp_157630011_nr_n_0,Arts & Photography,Architecture,"Architects, A-Z",,,,"Everything Adobe Illustrator 2023: Complete Beginner to Expert Guide to Master the Art of Graphic Creation, Digital Art Working, & Illustration Using the Latest Tools in Adobe Illustrator",209305,https://www.amazon.com/Everything-Adobe-Illustrator-2023-Illustration-ebook/dp/B0BVC4GG4X/ref=sr_1_16?qid=1699131427&s=digital-text&sr=1-16
